date,open,high,low,close,volume,ticker
2015-09-25,30.0758,30.0804,29.5425,29.5872,59861594,EEM
2015-09-28,29.3498,29.3589,28.8658,28.9571,58659482,EEM
2015-09-29,29.0576,29.2402,28.8932,29.0941,52829467,EEM
2015-09-30,29.8521,29.9982,29.6603,29.9342,80422192,EEM
2015-10-01,30.1808,30.2447,29.8703,30.0986,48402553,EEM
2015-10-02,29.9616,30.9114,29.8521,30.9022,83904650,EEM
2015-10-05,31.2584,31.5871,31.2036,31.5688,77868979,EEM
2015-10-06,31.4593,31.5871,31.3405,31.5141,47313421,EEM
2015-10-07,32.2903,32.5551,32.1076,32.3542,97905926,EEM
2015-10-08,32.1624,32.7469,32.1259,32.7012,64163639,EEM
2015-10-09,33.0299,33.1121,32.6647,32.8199,61563411,EEM
2015-10-12,32.8747,32.893,32.5368,32.5734,44030151,EEM
2015-10-13,32.1898,32.4638,32.0163,32.0437,72241640,EEM
2015-10-14,32.272,32.4409,32.1807,32.2903,57724924,EEM
2015-10-15,32.8199,33.0939,32.6315,33.0756,60410755,EEM
2015-10-16,32.9569,33.1121,32.7834,33.103,65003777,EEM
2015-10-19,32.756,32.7834,32.6007,32.7651,52354553,EEM
2015-10-20,32.6829,32.8108,32.6099,32.756,44212504,EEM
2015-10-21,32.546,32.5734,32.2629,32.2811,55037001,EEM
2015-10-22,32.619,33.0208,32.619,32.9478,56963309,EEM
2015-10-23,33.1943,33.2582,33.0071,33.1395,53726991,EEM
2015-10-26,32.9752,32.9934,32.7971,32.8382,41789192,EEM
2015-10-27,32.4912,32.6099,32.3907,32.4638,56392847,EEM
2015-10-28,32.5368,32.6921,31.9067,32.0894,125416012,EEM
2015-10-29,31.7789,31.9341,31.7241,31.788,63886035,EEM
2015-10-30,32.0254,32.0346,31.8245,31.8428,72076025,EEM
2015-11-02,32.1168,32.4729,32.0985,32.4729,51896475,EEM
2015-11-03,32.3816,33.0299,32.3725,32.9021,68335371,EEM
2015-11-04,33.103,33.1213,32.5368,32.6373,69243647,EEM
2015-11-05,32.6099,32.8016,32.482,32.6921,43303022,EEM
2015-11-06,31.9706,32.2811,31.7971,32.2355,65547223,EEM
2015-11-09,31.7697,31.8793,31.3588,31.4319,76448575,EEM
2015-11-10,31.2949,31.3771,31.1579,31.2949,53876189,EEM
2015-11-11,31.5415,31.5471,31.2995,31.3588,34433080,EEM
2015-11-12,31.2218,31.4319,31.0301,31.0575,53097924,EEM
2015-11-13,30.8429,30.8748,30.5369,30.6283,72046830,EEM
2015-11-16,30.7196,31.231,30.6648,31.2218,61895258,EEM
2015-11-17,31.2675,31.3177,31.0757,31.1305,58447537,EEM
2015-11-18,31.0894,31.5049,31.0666,31.4677,48166088,EEM
2015-11-19,31.6693,31.8337,31.6145,31.7515,68973856,EEM
2015-11-20,32.062,32.2355,31.9706,32.0711,73122394,EEM
2015-11-23,31.9341,31.998,31.7424,31.7697,55352079,EEM
2015-11-24,31.5551,31.9889,31.5278,31.9341,62017473,EEM
2015-11-25,31.7332,31.7606,31.5688,31.6876,37938276,EEM
2015-11-27,31.2675,31.2766,30.957,30.9935,54817150,EEM
2015-11-30,30.9114,31.0757,30.8383,31.0392,91134922,EEM
2015-12-01,31.1944,31.3223,31.1305,31.2766,56692143,EEM
2015-12-02,31.094,31.1396,30.7744,30.9022,59090997,EEM
2015-12-03,31.0164,31.0392,30.61,30.7287,52692538,EEM
2015-12-04,30.473,30.9935,30.473,30.9387,79516410,EEM
2015-12-07,30.6465,30.6648,30.3452,30.4246,47613079,EEM
2015-12-08,29.8064,30.1169,29.7333,30.0895,71352240,EEM
2015-12-09,29.9982,30.3086,29.7744,29.8429,66422844,EEM
2015-12-10,29.7562,29.8795,29.5781,29.6413,59281044,EEM
2015-12-11,29.0302,29.0622,28.7654,28.811,89805968,EEM
2015-12-14,29.1124,29.295,28.8476,29.2767,83798020,EEM
2015-12-15,29.642,29.8429,29.6329,29.7242,78124349,EEM
2015-12-16,29.9525,30.4639,29.8247,30.3086,105082176,EEM
2015-12-17,30.3269,30.3543,29.916,29.916,93646702,EEM
2015-12-18,29.9251,30.0073,29.7516,29.8155,96868868,EEM
2015-12-21,30.1038,30.1316,29.8349,30.0482,64002428,EEM
2015-12-22,30.0574,30.3032,30.0204,30.2893,49664557,EEM
2015-12-23,30.5165,30.7437,30.5119,30.7159,47463979,EEM
2015-12-24,30.5397,30.6603,30.5212,30.6046,21532667,EEM
2015-12-28,30.3635,30.4099,30.2615,30.3913,38299217,EEM
2015-12-29,30.4748,30.5397,30.382,30.4191,43931475,EEM
2015-12-30,30.1224,30.1687,29.9276,29.9462,51320045,EEM
2015-12-31,29.9462,30.0639,29.8441,29.8534,44184697,EEM
2016-01-04,29.0744,29.1022,28.7962,29.0373,83489056,EEM
2016-01-05,29.1671,29.2135,29.028,29.1022,57773894,EEM
2016-01-06,28.555,28.7405,28.4345,28.545,65835110,EEM
2016-01-07,27.8131,28.2026,27.6462,27.6647,88974694,EEM
2016-01-08,27.8456,27.9476,27.3587,27.3679,73528022,EEM
2016-01-11,27.6276,27.6462,27.1083,27.3587,56225509,EEM
2016-01-12,27.5488,27.6833,27.2196,27.4143,61357495,EEM
2016-01-13,27.7296,27.8224,27.0619,27.1268,71788667,EEM
2016-01-14,27.1546,27.5813,26.9506,27.4792,65521213,EEM
2016-01-15,26.4034,26.5704,26.0417,26.3895,117573941,EEM
2016-01-19,27.0805,27.1175,26.5796,26.7837,79535127,EEM
2016-01-20,26.1252,26.3942,25.6059,26.1994,103223537,EEM
2016-01-21,26.1901,26.6446,25.9954,26.3014,81845885,EEM
2016-01-22,27.1361,27.2103,26.9506,27.201,75886562,EEM
2016-01-25,27.0155,27.1268,26.7188,26.7327,59623302,EEM
2016-01-26,26.8857,27.1686,26.8347,27.1268,60020081,EEM
2016-01-27,27.1175,27.4142,26.8486,27.0341,74020200,EEM
2016-01-28,27.5627,27.623,27.2242,27.4607,84739859,EEM
2016-01-29,27.8966,28.3742,27.8688,28.351,81973841,EEM
2016-02-01,27.8734,28.1609,27.7992,28.0821,43254606,EEM
2016-02-02,27.6184,27.6554,27.099,27.1732,75516023,EEM
2016-02-03,27.4607,27.9615,27.0063,27.9429,117143203,EEM
2016-02-04,28.1562,28.5087,27.9754,28.1562,99923322,EEM
2016-02-05,28.045,28.1377,27.7204,27.8317,70370692,EEM
2016-02-08,27.405,27.5766,27.1268,27.4514,72716781,EEM
2016-02-09,26.9321,27.3865,26.793,27.0712,67275702,EEM
2016-02-10,27.3772,27.6833,27.1732,27.1825,67192394,EEM
2016-02-11,26.6353,26.9135,26.524,26.728,86795536,EEM
2016-02-12,26.9599,27.201,26.83,27.1917,68435953,EEM
2016-02-16,27.7018,27.8317,27.584,27.7946,54396229,EEM
2016-02-17,28.045,28.4067,28.0171,28.3417,69297618,EEM
2016-02-18,28.4437,28.4437,28.1099,28.1748,59141156,EEM
2016-02-19,27.9986,28.1841,27.8919,28.045,59068967,EEM
2016-02-22,28.5179,28.7405,28.4716,28.7405,42673436,EEM
2016-02-23,28.4159,28.4623,28.0913,28.1284,54666101,EEM
2016-02-24,27.674,28.1609,27.5163,28.0635,59334180,EEM
2016-02-25,28.0264,28.1933,27.8177,28.1562,45895149,EEM
2016-02-26,28.3417,28.3603,27.8502,27.878,54635593,EEM
2016-02-29,28.1562,28.3881,28.0913,28.1192,65543074,EEM
2016-03-01,28.6571,29.1393,28.6478,29.1208,69324530,EEM
2016-03-02,29.1579,29.5288,29.0929,29.5103,66977488,EEM
2016-03-03,29.5381,29.8534,29.501,29.8441,66934149,EEM
2016-03-04,30.1316,30.5675,30.0574,30.4377,102487740,EEM
2016-03-07,30.1409,30.5397,30.1131,30.3913,67816590,EEM
2016-03-08,30.0204,30.0667,29.756,29.872,50510144,EEM
2016-03-09,30.0667,30.2244,29.9647,30.0574,54890340,EEM
2016-03-10,30.2337,30.2893,29.6679,30.1038,69716396,EEM
2016-03-11,30.5582,30.7994,30.5212,30.7345,74998585,EEM
2016-03-14,30.6324,30.7437,30.4609,30.549,43883730,EEM
2016-03-15,30.0853,30.1224,29.9462,30.1131,66967754,EEM
2016-03-16,29.872,30.7994,29.8627,30.7159,98218450,EEM
2016-03-17,31.1332,31.4671,30.9733,31.3929,114746810,EEM
2016-03-18,31.5506,31.7082,31.5228,31.5585,102194588,EEM
2016-03-21,31.5228,31.699,31.4764,31.6248,59921402,EEM
2016-03-22,31.3466,31.6804,31.3373,31.5506,41960945,EEM
2016-03-23,31.2909,31.2909,30.9756,31.0127,58628497,EEM
2016-03-24,30.6788,30.9478,30.6046,30.9385,61479061,EEM
2016-03-28,30.957,31.0498,30.9014,31.0405,40595508,EEM
2016-03-29,30.855,31.4764,30.7901,31.4671,81638819,EEM
2016-03-30,31.9401,32.0699,31.7824,31.7917,53128602,EEM
2016-03-31,31.903,32.005,31.6711,31.7639,109595060,EEM
2016-04-01,31.0869,31.7268,30.9941,31.6711,76178771,EEM
2016-04-04,31.6526,31.6618,31.2631,31.2909,46429033,EEM
2016-04-05,30.7994,30.9014,30.6232,30.6788,61660857,EEM
2016-04-06,30.5953,31.0591,30.5119,31.0498,56608660,EEM
2016-04-07,30.6417,30.7066,30.3496,30.4284,75406046,EEM
2016-04-08,31.0961,31.1332,30.8365,30.957,44785168,EEM
2016-04-11,31.4671,31.5784,31.3095,31.3558,63971977,EEM
2016-04-12,31.4671,31.9401,31.328,31.8381,70261607,EEM
2016-04-13,32.3482,32.4223,32.2044,32.4038,95376362,EEM
2016-04-14,32.3482,32.376,32.1998,32.2461,49781436,EEM
2016-04-15,32.209,32.2647,32.056,32.0607,61733669,EEM
2016-04-18,31.9494,32.3667,31.8844,32.209,51810566,EEM
2016-04-19,32.5244,32.7748,32.4826,32.7006,70368815,EEM
2016-04-20,32.4409,32.7191,32.325,32.5522,51670080,EEM
2016-04-21,32.4687,32.4687,32.1627,32.2276,59286609,EEM
2016-04-22,32.0978,32.3203,32.005,32.0328,43727083,EEM
2016-04-25,32.0143,32.0143,31.7778,31.8281,40116106,EEM
2016-04-26,32.0699,32.1812,31.9772,32.1719,46394347,EEM
2016-04-27,32.0421,32.4223,31.9494,32.3667,56192059,EEM
2016-04-28,32.0421,32.3203,31.9586,32.0328,51718922,EEM
2016-04-29,31.9401,32.0699,31.634,31.8937,86482678,EEM
2016-05-02,31.8937,31.903,31.6619,31.8056,36886957,EEM
2016-05-03,31.2074,31.2631,30.9014,30.9107,94755375,EEM
2016-05-04,30.7159,30.7716,30.3913,30.4099,105838422,EEM
2016-05-05,30.7066,30.7437,30.3078,30.4006,83029528,EEM
2016-05-06,30.2986,30.5768,30.2754,30.447,81640035,EEM
2016-05-09,30.382,30.3913,29.974,30.0574,84074348,EEM
2016-05-10,30.3913,30.651,30.382,30.6324,69384441,EEM
2016-05-11,30.6046,30.7716,30.4841,30.5582,58600267,EEM
2016-05-12,30.7345,30.7855,30.3635,30.4748,63469813,EEM
2016-05-13,30.2151,30.3449,29.8673,29.9276,62016682,EEM
2016-05-16,30.2244,30.3913,30.2151,30.2893,51206618,EEM
2016-05-17,30.2244,30.3681,30.0667,30.1502,63616421,EEM
