date,open,high,low,close,volume,ticker
2015-09-25,103.1891,103.2918,102.8808,102.8808,436698,TIP
2015-09-28,102.9462,103.2545,102.8715,102.9088,475582,TIP
2015-09-29,103.1517,103.3151,103.077,103.1984,373085,TIP
2015-09-30,103.2545,103.4133,103.1884,103.4039,537936,TIP
2015-10-01,103.8448,104.0224,103.7306,103.7794,529738,TIP
2015-10-02,104.4991,104.6486,104.2374,104.3776,771295,TIP
2015-10-05,104.3776,104.4336,104.0458,104.0598,617638,TIP
2015-10-06,104.0598,104.4991,104.0411,104.3589,481154,TIP
2015-10-07,104.2093,104.4336,104.1299,104.3402,458133,TIP
2015-10-08,104.3682,104.5817,104.1533,104.3028,426974,TIP
2015-10-09,104.1345,104.3215,103.9476,104.013,607522,TIP
2015-10-12,104.1906,104.2934,104.0785,104.2,287721,TIP
2015-10-13,104.1158,104.2514,103.9477,104.1439,395497,TIP
2015-10-14,104.2187,104.5084,104.1158,104.4991,466367,TIP
2015-10-15,104.5178,104.5458,104.228,104.3028,1843825,TIP
2015-10-16,104.2187,104.2187,103.985,104.0224,467655,TIP
2015-10-19,103.8635,103.9289,103.6765,103.8448,326618,TIP
2015-10-20,103.6111,103.7326,103.5176,103.7233,420319,TIP
2015-10-21,103.8635,104.0037,103.7854,103.7887,371781,TIP
2015-10-22,103.8728,104.228,103.77,104.1439,368372,TIP
2015-10-23,103.9943,104.0691,103.8798,103.9943,303989,TIP
2015-10-26,104.1252,104.1719,103.9663,103.9663,256272,TIP
2015-10-27,104.2187,104.3121,104.1237,104.2,312321,TIP
2015-10-28,104.1158,104.1532,103.6018,103.6765,387497,TIP
2015-10-29,103.4616,103.5457,103.2653,103.3961,478224,TIP
2015-10-30,103.6018,103.7326,103.4765,103.7139,807323,TIP
2015-11-02,103.4803,103.6765,103.4055,103.6672,1376966,TIP
2015-11-03,103.6205,103.7513,103.4055,103.4896,653657,TIP
2015-11-04,103.527,103.6859,103.1344,103.3494,533206,TIP
2015-11-05,103.1905,103.2185,102.8448,103.0223,547856,TIP
2015-11-06,102.7605,102.7605,102.4614,102.5923,455781,TIP
2015-11-09,102.4521,102.7418,102.4521,102.5549,549893,TIP
2015-11-10,102.6297,102.8353,102.4988,102.5175,855966,TIP
2015-11-11,102.4334,102.5403,102.3586,102.5082,439240,TIP
2015-11-12,102.4054,102.5768,102.3773,102.5082,569406,TIP
2015-11-13,102.6951,102.7886,102.5923,102.6484,564637,TIP
2015-11-16,102.8353,102.8353,102.4988,102.5923,544333,TIP
