date,open,high,low,close,volume,ticker
2015-09-25,109.87,110.03,109.55,109.81,5209493,GLD
2015-09-28,108.37,108.91,108.27,108.42,3809622,GLD
2015-09-29,108.24,108.69,107.88,107.98,4043592,GLD
2015-09-30,106.78,107.075,106.47,106.86,7405576,GLD
2015-10-01,106.98,107.21,106.63,106.73,4278592,GLD
2015-10-02,108.54,109.3199,108.54,108.99,7730647,GLD
2015-10-05,109.14,109.38,108.46,108.77,5490200,GLD
2015-10-06,109.8,110.26,109.63,109.86,7513898,GLD
2015-10-07,109.75,110.14,109.34,109.7,5355489,GLD
2015-10-08,109.16,110.27,109.06,109.14,5038194,GLD
2015-10-09,110.54,111.05,110.23,110.87,7907263,GLD
2015-10-12,111.67,111.7324,111.01,111.31,6257945,GLD
2015-10-13,111.36,111.87,111.28,111.86,5149627,GLD
2015-10-14,112.63,113.95,112.3,113.81,10207765,GLD
2015-10-15,113.2,113.99,112.94,113.29,14083929,GLD
2015-10-16,113.24,113.44,112.43,112.49,7328038,GLD
2015-10-19,112.64,112.69,111.89,112.02,3959383,GLD
2015-10-20,112.38,113.09,112.38,112.73,4903225,GLD
2015-10-21,112.37,112.37,111.41,111.73,3908787,GLD
2015-10-22,111.52,112.21,111.43,111.69,3436365,GLD
2015-10-23,111.81,111.84,110.9601,111.5,4868351,GLD
2015-10-26,111.73,111.98,111.33,111.43,2573512,GLD
2015-10-27,111.31,111.81,111.29,111.68,2646105,GLD
2015-10-28,112.68,113.25,110.31,110.78,8201197,GLD
2015-10-29,110.23,110.6,109.66,109.72,5150835,GLD
2015-10-30,109.5,109.58,109.06,109.3,5543162,GLD
2015-11-02,108.64,108.84,108.46,108.59,5843311,GLD
2015-11-03,107.79,107.8094,106.68,106.98,7145264,GLD
2015-11-04,107.02,107.09,105.92,105.97,7617813,GLD
2015-11-05,106.01,106.1,105.58,105.64,5931124,GLD
2015-11-06,104.17,104.42,104.02,104.1,8831874,GLD
2015-11-09,104.29,104.58,104.19,104.4,4129199,GLD
2015-11-10,104.09,104.65,103.87,104.18,4450764,GLD
2015-11-11,104.09,104.23,103.78,103.83,3527590,GLD
2015-11-12,103.09,104.32,103.04,103.85,6300546,GLD
2015-11-13,103.54,103.74,103.45,103.56,3224207,GLD
2015-11-16,103.98,104.03,103.515,103.71,2951244,GLD
2015-11-17,103.38,103.3999,101.98,102.34,8593070,GLD
2015-11-18,102.39,102.95,102.04,102.43,5043766,GLD
2015-11-19,103.07,104.09,103.07,103.56,5087639,GLD
2015-11-20,103.58,103.66,102.97,103.09,5971643,GLD
2015-11-23,102.48,102.75,102.16,102.26,4042473,GLD
2015-11-24,103.12,103.25,102.69,102.94,3479620,GLD
2015-11-25,102.47,102.69,102.21,102.46,2931291,GLD
2015-11-27,101.01,101.62,100.99,101.25,4993553,GLD
2015-11-30,101.53,102.38,101.52,101.92,6772983,GLD
2015-12-01,102.3,102.43,101.81,102.28,4645916,GLD
2015-12-02,101.35,101.35,100.53,100.69,10223492,GLD
2015-12-03,101.23,101.97,100.845,101.76,6499935,GLD
2015-12-04,102.74,104.21,102.65,104.02,10670249,GLD
2015-12-07,103.32,103.37,102.5,102.67,4393461,GLD
2015-12-08,103.13,103.26,102.53,102.84,3412291,GLD
2015-12-09,103.63,103.66,102.32,102.64,6026283,GLD
2015-12-10,102.51,102.825,102.34,102.55,3853545,GLD
2015-12-11,101.91,103.32,101.85,103.11,6798161,GLD
2015-12-14,102.58,102.72,101.74,101.79,5563778,GLD
2015-12-15,101.71,102.06,101.41,101.52,6831064,GLD
2015-12-16,102.59,103.2,101.66,102.75,8292194,GLD
2015-12-17,100.92,100.99,100.2326,100.5,10156223,GLD
2015-12-18,101.35,102.53,101.3,102.04,8345864,GLD
2015-12-21,102.95,103.52,102.83,103.15,6378892,GLD
2015-12-22,103.09,103.2,102.5599,102.61,4123512,GLD
2015-12-23,102.4,102.59,102.21,102.31,2821380,GLD
2015-12-24,102.82,103.05,102.77,103.05,1710153,GLD
2015-12-28,102.48,102.5962,102.03,102.27,3356190,GLD
2015-12-29,102.52,102.58,102.11,102.2,2832238,GLD
2015-12-30,101.47,101.6,101.345,101.42,3744959,GLD
2015-12-31,101.48,101.72,101.31,101.46,3823564,GLD
2016-01-04,103.13,103.67,102.485,102.89,6439982,GLD
2016-01-05,103.13,103.46,102.93,103.18,3500272,GLD
2016-01-06,104.37,104.8,103.93,104.67,9316599,GLD
2016-01-07,105.83,106.237,105.19,106.15,11730376,GLD
2016-01-08,105.48,105.8,105.04,105.68,7678153,GLD
2016-01-11,105.47,105.566,104.71,104.74,6272359,GLD
2016-01-12,104.09,104.59,103.65,104.21,5540231,GLD
2016-01-13,103.89,104.8199,103.78,104.72,7324203,GLD
2016-01-14,103.75,104.18,102.4985,103.02,9989065,GLD
2016-01-15,104.92,104.96,103.965,104.08,10052735,GLD
2016-01-19,104.06,104.45,103.65,103.98,4588405,GLD
2016-01-20,105.17,106.16,104.94,105.37,10120876,GLD
2016-01-21,104.99,105.49,104.515,105.49,5425032,GLD
2016-01-22,104.93,105.51,104.76,105.0,4185326,GLD
2016-01-25,105.76,106.09,105.6,106.08,6819409,GLD
2016-01-26,106.32,107.43,106.255,107.29,8443381,GLD
2016-01-27,106.86,107.93,106.65,107.69,8273353,GLD
2016-01-28,106.55,106.86,106.48,106.54,5914192,GLD
2016-01-29,106.61,107.0,106.26,106.9492,8098682,GLD
2016-02-01,107.54,108.15,107.53,108.05,10471814,GLD
2016-02-02,107.92,108.18,107.35,108.09,6656018,GLD
2016-02-03,107.91,109.58,107.9,109.25,15785215,GLD
2016-02-04,110.45,110.7,109.92,110.57,13213681,GLD
2016-02-05,109.79,112.35,109.58,112.32,14777267,GLD
2016-02-08,113.67,114.8692,113.39,113.83,28341176,GLD
2016-02-09,114.43,114.69,113.55,113.58,18156696,GLD
2016-02-10,113.92,114.52,112.98,114.46,13311118,GLD
2016-02-11,118.59,120.84,117.77,119.0592,49138983,GLD
2016-02-12,118.12,118.74,117.88,118.36,16981163,GLD
2016-02-16,116.0,116.31,114.74,114.77,14601662,GLD
2016-02-17,115.47,116.07,114.89,115.48,10582440,GLD
2016-02-18,115.3,118.595,115.29,118.29,13586529,GLD
2016-02-19,117.26,117.965,117.1,117.58,15191950,GLD
2016-02-22,115.44,116.19,115.41,115.49,10677842,GLD
2016-02-23,116.68,117.42,116.52,117.22,9033429,GLD
2016-02-24,119.0,119.86,117.35,117.61,17938767,GLD
2016-02-25,117.62,118.91,117.5401,117.92,12500275,GLD
2016-02-26,117.43,117.72,115.8637,117.11,12505077,GLD
2016-02-29,117.59,118.7,117.53,118.64,11517545,GLD
2016-03-01,118.74,119.11,117.34,117.77,14139278,GLD
2016-03-02,118.34,118.97,118.07,118.68,8903045,GLD
2016-03-03,118.86,121.3,118.81,120.73,18724053,GLD
2016-03-04,121.13,122.37,120.22,120.54,16261054,GLD
2016-03-07,121.18,121.5801,120.41,121.14,9358611,GLD
2016-03-08,121.79,121.88,120.47,120.58,11530989,GLD
2016-03-09,119.2,120.39,118.84,119.58,8672862,GLD
2016-03-10,120.5,121.76,120.42,121.5,18104896,GLD
2016-03-11,121.19,121.385,119.36,119.41,10831135,GLD
2016-03-14,120.27,120.31,117.5,117.87,14256598,GLD
2016-03-15,117.78,118.04,117.36,117.96,9949030,GLD
2016-03-16,117.42,120.76,117.34,120.59,17333961,GLD
2016-03-17,121.16,121.18,120.03,120.13,9912732,GLD
2016-03-18,119.59,120.34,119.51,119.8,16965893,GLD
2016-03-21,119.0,119.33,118.73,118.96,7240640,GLD
2016-03-22,119.73,120.16,118.96,119.31,6786752,GLD
2016-03-23,116.74,117.12,116.16,116.61,15993672,GLD
2016-03-24,116.77,116.94,116.3,116.33,6280937,GLD
2016-03-28,116.73,116.91,116.27,116.6,3879076,GLD
2016-03-29,117.36,118.81,116.8,118.76,14472350,GLD
2016-03-30,117.88,118.2,116.91,117.1,10769071,GLD
2016-03-31,118.161,118.39,117.6,117.64,9348249,GLD
2016-04-01,116.08,116.98,115.55,116.93,10405379,GLD
2016-04-04,116.67,116.73,116.07,116.15,7643738,GLD
2016-04-05,117.76,117.93,117.15,117.66,8865906,GLD
2016-04-06,116.7,117.385,116.26,116.94,7549435,GLD
2016-04-07,118.65,118.85,115.0,118.61,11900452,GLD
2016-04-08,118.07,118.77,117.98,118.43,9078874,GLD
2016-04-11,119.47,120.3,119.42,120.03,9845964,GLD
2016-04-12,120.23,120.345,119.55,120.05,9689464,GLD
2016-04-13,119.37,119.43,118.56,118.77,8841545,GLD
2016-04-14,118.09,118.1869,116.95,117.11,13165804,GLD
2016-04-15,117.33,118.12,117.19,117.92,7838146,GLD
2016-04-18,118.53,118.56,117.63,117.74,5809803,GLD
