date,open,high,low,close,volume,ticker
2015-09-25,182.3134,182.5835,179.5946,180.4978,7237931,IVV
2015-09-28,179.5666,179.6621,175.7118,175.9911,11841565,IVV
2015-09-29,176.2612,177.6299,175.0228,176.0191,9002482,IVV
2015-09-30,178.3003,179.5946,177.3692,179.4363,7919883,IVV
2015-10-01,179.8367,180.1998,177.7323,179.9298,6009675,IVV
2015-10-02,177.6578,182.5649,177.0899,182.5649,4667776,IVV
2015-10-05,183.9336,186.0752,183.8312,185.8703,4802757,IVV
2015-10-06,185.6841,186.2986,184.4457,185.172,4450993,IVV
2015-10-07,186.2707,187.0901,184.9113,186.699,4975180,IVV
2015-10-08,186.2055,188.7103,185.9448,188.4123,5945299,IVV
2015-10-09,188.673,189.0455,187.8303,188.552,3299607,IVV
2015-10-12,188.5985,188.8965,188.1236,188.7196,2128932,IVV
2015-10-13,187.8629,189.2782,187.3229,187.4998,3841562,IVV
2015-10-14,187.4532,188.0864,186.2893,186.5594,2526333,IVV
2015-10-15,187.4067,189.4551,186.9318,189.4179,3016655,IVV
2015-10-16,189.9021,190.3304,189.0641,190.2559,3678901,IVV
2015-10-19,189.6321,190.4235,189.2782,190.4049,3960022,IVV
2015-10-20,189.9952,190.8611,189.6693,190.1256,2440228,IVV
2015-10-21,190.6935,190.8984,188.8127,189.0175,5138257,IVV
2015-10-22,190.0883,192.4161,189.9114,192.1275,4176581,IVV
2015-10-23,194.1107,194.7067,193.1796,194.2877,4272698,IVV
2015-10-26,194.1294,194.162,193.4403,193.8407,3308793,IVV
2015-10-27,193.0493,193.8314,192.6954,193.4683,4240682,IVV
2015-10-28,193.85,195.6657,193.1051,195.6378,4517681,IVV
2015-10-29,195.107,195.9451,194.9674,195.5354,3383041,IVV
2015-10-30,195.7775,196.1033,194.5391,194.6508,3971309,IVV
2015-11-02,195.0884,197.2207,194.9488,197.0252,4297960,IVV
2015-11-03,196.5968,198.2077,196.3827,197.5187,3078101,IVV
2015-11-04,197.8725,198.0401,196.4106,197.0065,3355585,IVV
